date,event_name,venue,is_private
2018-07-13,CAFÉ HENDRIX – The Beatles Tribute Night,Guwahati, Assam,FALSE
2018-12-31,New Year Eve – Zaloni Club,Duliajan, Assam,FALSE
2019-01-19,Red Haute,Guwahati, Assam,FALSE
2019-02-05,TGS – The Green Street,Itanagar, Arunachal Pradesh,FALSE
2019-09-29,The Telegraph Food Festival,Sonaram Field, Guwahati, Assam,FALSE
2019-12-24,Christmas Celebration – India Club Town,Guwahati, Assam,FALSE
2020-12-08,Padmini Resort,Tinsukia, Assam,FALSE
2020-12-25,Zoonskaya Resort,Sivsagar, Assam,FALSE
2021-12-18,Shanghai Salsa,Guwahati, Assam,FALSE
2021-12-21,Live Show,Guwahati, Assam,FALSE
2021-12-25,Christmas Gig,Jorhat, Assam,FALSE
2022-05-26,Shanghai Salsa,Guwahati, Assam,FALSE
2022-07-29,Waii International Hotel,Guwahati, Assam,FALSE
2022-10-22,Polo Club,Seppa, Arunachal Pradesh,FALSE
2022-12-21,Zaloni Club,Duliajan, Assam,FALSE
2022-12-30,Iora Resort,Kaziranga, Assam,FALSE
2023-01-07,River Dolphin Festival 1.0,Ranighat, Guijan, Assam,FALSE
2023-01-21,Rock Revolt Vol 1,Aura Café, Alubari Bridge, Arunachal Pradesh,FALSE
2023-04-07,Freemason’s Brewworks,Guwahati, Assam,FALSE
2023-06-10,Rural Blues,Bangalore, Karnataka,FALSE
2023-10-07,Café Hendrix,Guwahati, Assam,FALSE
2023-10-08,Abacus,Guwahati, Assam,FALSE
2023-11-14,SBI Life Event,Dibrugarh, Assam,FALSE
2023-12-09,Hollong,Tinsukia, Assam,FALSE
2023-12-23,Nyokum Yullo,Seppa, Arunachal Pradesh,FALSE
2023-12-25,Island Christmas – Himnam Resort,Tengapani, Namsai, Arunachal Pradesh,FALSE
2023-12-29,Aalo Winter Fest,Aalo, Arunachal Pradesh,FALSE
2024-01-20,Annual Meet – Margherita Club,Margherita, Tinsukia, Assam,FALSE
2024-01-24,Karbi Youth Fest,Diphu, Assam,FALSE
2024-02-25,Siang River Festival,Pasighat, Arunachal Pradesh,FALSE
2024-04-13,Hollong,Tinsukia, Assam,FALSE
2024-10-02,Elixir Towne,Itanagar, Arunachal Pradesh,FALSE
2024-10-14,Dinjan Army Camp,Tinsukia, Assam,FALSE
2024-10-30,Dinjan Army Camp,Tinsukia, Assam,FALSE
2024-11-09,Black Sparrow,Itanagar, Arunachal Pradesh,FALSE
2024-12-21,T’s Country Club,Tezu, Arunachal Pradesh,FALSE
2024-12-25,Hollong,Tinsukia, Assam,FALSE
2024-12-31,New Year Eve – Hotel Kinnara,Namsai, Arunachal Pradesh,FALSE
2025-01-23,Pangsau Pass International Festival,Nampong, Arunachal Pradesh,FALSE
2025-02-02,Burhidihing Festival 2.0,Naharkatiya, Dibrugarh, Assam,FALSE
2025-04-25,Tangsa Moh Mol,Kovin Ground, Jairampur, Arunachal Pradesh,FALSE
